	init_time	first_stop	first_stop_arrival_time	first_stop_leave_time	first_stop_duration	second_stop	second_stop_arrival_time	second_stop_leave_time	second_stop_duration	back_time
veh_0	2019-10-12 17:18:47.091629	P1	1253.5	1269.5	16.0	P2	1297.5	1312.5	15.0	2019-10-12 17:19:00.833360
veh_1	2019-10-12 17:18:47.108246	P1	1242.5	1255.0	12.5	P3	1333.0	1344.5	11.5	2019-10-12 17:19:19.548785
veh_2	2019-10-12 17:18:47.113241	P1	1250.0	1272.5	22.5	P3	1344.0	1356.0	12.0	2019-10-12 17:19:21.882205
veh_3	2019-10-12 17:18:47.118378	P1	1236.5	1286.0	49.5	P3	1350.0	1361.5	11.5	2019-10-12 17:19:22.216834
veh_4	2019-10-12 17:18:47.121917	P2	1242.0	1262.5	20.5	P3	1300.0	1315.5	15.5	2019-10-12 17:19:00.207036
veh_5	2019-10-12 17:18:47.125674	P1	1232.0	1291.0	59.0	P2	1332.5	1345.5	13.0	2019-10-12 17:19:03.543241
veh_6	2019-10-12 17:18:47.128921	P3	1262.0	1274.0	12.0	P1	1353.5	1365.5	12.0	2019-10-12 17:19:14.853751
veh_7	2019-10-12 17:18:47.134148	P3	1253.0	1265.0	12.0	P1	1338.5	1354.5	16.0	2019-10-12 17:19:13.329154
veh_8	2019-10-12 17:18:47.139957	P2	1256.5	1267.5	11.0	P3	1296.0	1318.5	22.5	2019-10-12 17:19:01.710802
veh_9	2019-10-12 17:18:47.144804	P1	1265.5	1297.5	32.0	P3	1366.0	1378.0	12.0	2019-10-12 17:19:04.181537
veh_10	2019-10-12 17:18:47.148224	P1	1269.0	1300.0	31.0	P3	1374.5	1386.0	11.5	2019-10-12 17:19:04.944776
veh_11	2019-10-12 17:18:47.151773	P2	1267.0	1278.5	11.5	P3	1307.0	1321.5	14.5	2019-10-12 17:19:00.657523
veh_12	2019-10-12 17:18:47.159370	P1	1261.5	1305.5	44.0	P3	1392.5	1405.5	13.0	2019-10-12 17:19:23.689528
veh_13	2019-10-12 17:18:47.163708	P3	1289.0	1301.0	12.0	P1	1362.0	1375.5	13.5	2019-10-12 17:19:16.270272
veh_14	2019-10-12 17:18:47.167070	P2	1275.0	1286.0	11.0	P1	1349.5	1363.0	13.5	2019-10-12 17:19:14.152937
veh_15	2019-10-12 17:18:47.170472	P3	1235.5	1248.5	13.0	P2	1336.5	1348.0	11.5	2019-10-12 17:19:03.835836
veh_16	2019-10-12 17:18:47.176046	P1	1200.5	1214.0	13.5	P3	1279.5	1328.0	48.5	2019-10-12 17:19:02.319664
veh_17	2019-10-12 17:18:47.179707	P1	1190.0	1207.0	17.0	P2	1248.0	1270.0	22.0	2019-10-12 17:18:58.390047
veh_18	2019-10-12 17:18:47.182913	P3	1228.0	1240.0	12.0	P1	1319.0	1330.5	11.5	2019-10-12 17:19:06.602847
veh_19	2019-10-12 17:18:47.186223	P3	1221.0	1245.0	24.0	P1	1325.0	1339.5	14.5	2019-10-12 17:19:13.099460
veh_20	2019-10-12 17:18:47.189607	P3	1215.5	1263.0	47.5	P2	1342.5	1355.5	13.0	2019-10-12 17:19:05.901259
veh_21	2019-10-12 17:18:47.195934	P1	1194.5	1218.0	23.5	P2	1261.0	1276.0	15.0	2019-10-12 17:18:58.627809
veh_22	2019-10-12 17:18:47.199858	P2	1191.5	1207.0	15.5	P1	1285.5	1309.0	23.5	2019-10-12 17:19:07.317034
veh_23	2019-10-12 17:18:47.203064	P3	1206.5	1268.0	61.5	P1	1345.0	1356.5	11.5	2019-10-12 17:19:13.852175
veh_24	2019-10-12 17:18:47.206306	P1	1178.5	1194.5	16.0	P2	1223.5	1234.5	11.0	2019-10-12 17:18:55.926063
veh_25	2019-10-12 17:18:47.210292	P3	1203.0	1216.5	13.5	P2	1327.5	1343.5	16.0	2019-10-12 17:19:03.401932
veh_26	2019-10-12 17:18:47.216618	P3	1194.0	1211.5	17.5	P2	1321.0	1337.5	16.5	2019-10-12 17:19:03.038403
veh_27	2019-10-12 17:18:47.220821	P3	1311.0	1334.0	23.0	P2	1396.0	1409.0	13.0	2019-10-12 17:19:11.399669
veh_28	2019-10-12 17:18:47.224526	P2	1178.0	1196.5	18.5	P3	1224.5	1279.5	55.0	2019-10-12 17:18:58.163970
veh_29	2019-10-12 17:18:47.228432	P2	1173.5	1203.0	29.5	P3	1231.5	1282.5	51.0	2019-10-12 17:18:59.643038
veh_30	2019-10-12 17:18:47.233179	P1	1155.0	1165.5	10.5	P2	1196.0	1208.0	12.0	2019-10-12 17:18:54.408763
veh_31	2019-10-12 17:18:47.238928	P2	1169.0	1214.0	45.0	P1	1290.5	1310.5	20.0	2019-10-12 17:19:06.327359
veh_32	2019-10-12 17:18:47.242789	P3	1179.5	1290.0	110.5	P2	1361.0	1372.5	11.5	2019-10-12 17:19:06.913724
veh_33	2019-10-12 17:18:47.246053	P3	1188.0	1338.5	150.5	P2	1414.5	1426.5	12.0	2019-10-12 17:19:12.822703
veh_34	2019-10-12 17:18:47.249495	P1	1143.5	1163.5	20.0	P2	1202.5	1216.5	14.0	2019-10-12 17:18:54.682664
veh_35	2019-10-12 17:18:47.254148	P2	1154.5	1178.0	23.5	P1	1278.0	1313.0	35.0	2019-10-12 17:19:09.197675
veh_36	2019-10-12 17:18:47.258718	P3	1163.0	1173.5	10.5	P2	1252.5	1283.5	31.0	2019-10-12 17:18:58.843896
veh_37	2019-10-12 17:18:47.262370	P1	1130.5	1143.5	13.0	P3	1211.0	1351.0	140.0	2019-10-12 17:19:02.593868
veh_38	2019-10-12 17:18:47.265727	P2	1146.0	1160.0	14.0	P3	1197.5	1353.5	156.0	2019-10-12 17:19:02.830395
veh_39	2019-10-12 17:18:47.268838	P2	1137.5	1229.5	92.0	P3	1257.5	1358.5	101.0	2019-10-12 17:19:03.194551
veh_40	2019-10-12 17:18:47.274101	P2	1132.5	1146.0	13.5	P3	1173.0	1188.0	15.0	2019-10-12 17:18:53.438855
veh_41	2019-10-12 17:18:47.278881	P2	1128.5	1237.5	109.0	P3	1273.5	1366.0	92.5	2019-10-12 17:19:22.478649
veh_42	2019-10-12 17:18:47.282040	P1	1113.0	1130.5	17.5	P2	1183.0	1243.5	60.5	2019-10-12 17:18:56.279599
veh_43	2019-10-12 17:18:47.285263	P1	1126.5	1172.0	45.5	P3	1239.5	1369.5	130.0	2019-10-12 17:19:22.800963
veh_44	2019-10-12 17:18:47.288725	P2	1119.5	1289.0	169.5	P1	1383.5	1395.0	11.5	2019-10-12 17:19:19.260508
veh_45	2019-10-12 17:18:47.294288	P2	1122.5	1291.5	169.0	P3	1327.0	1375.5	48.5	2019-10-12 17:19:23.082560
veh_46	2019-10-12 17:18:47.298473	P2	1114.5	1302.5	188.0	P3	1338.0	1380.5	42.5	2019-10-12 17:19:04.397761
veh_47	2019-10-12 17:18:47.302081	P1	1103.5	1136.5	33.0	P2	1187.5	1322.0	134.5	2019-10-12 17:19:01.225475
veh_48	2019-10-12 17:18:47.305331	P3	1158.5	1181.5	23.0	P1	1305.0	1320.0	15.0	2019-10-12 17:19:10.950032
veh_49	2019-10-12 17:18:47.308976	P1	1119.0	1179.5	60.5	P2	1234.0	1328.5	94.5	2019-10-12 17:19:02.008319
veh_50	2019-10-12 17:18:47.314729	P1	1108.0	1181.5	73.5	P3	1244.5	1383.5	139.0	2019-10-12 17:19:04.650076
veh_51	2019-10-12 17:18:47.318684	P1	1096.0	1114.5	18.5	P2	1141.5	1351.0	209.5	2019-10-12 17:19:05.097799
veh_52	2019-10-12 17:18:47.322091	P1	1092.0	1200.5	108.5	P2	1229.0	1353.0	124.0	2019-10-12 17:19:05.565181
veh_53	2019-10-12 17:18:47.325851	P2	1107.0	1125.0	18.0	P1	1187.0	1223.5	36.5	2019-10-12 17:18:56.887958
veh_54	2019-10-12 17:18:47.329434	P1	1162.5	1326.0	163.5	P2	1377.5	1391.0	13.5	2019-10-12 17:19:08.590622
veh_55	2019-10-12 17:18:47.335386	P2	1100.5	1362.0	261.5	P1	1446.0	1457.0	11.0	2019-10-12 17:19:18.886396
veh_56	2019-10-12 17:18:47.339322	P2	1095.5	1364.0	268.5	P1	1419.5	1430.5	11.0	2019-10-12 17:19:18.627701
veh_57	2019-10-12 17:18:47.342717	P2	1283.0	1367.0	84.0	P3	1402.0	1413.0	11.0	2019-10-12 17:19:23.958901
veh_58	2019-10-12 17:18:47.346235	P2	1091.5	1370.0	278.5	P1	1425.0	1436.0	11.0	2019-10-12 17:19:20.760851
veh_59	2019-10-12 17:18:47.349503	P2	1087.0	1100.5	13.5	P3	1136.0	1147.5	11.5	2019-10-12 17:18:51.541642
